DatasetSize, Range, ExecutionTime(us)
100, 10, 0
100, 50, 2
100, 100, 0
100, 500, 5
100, 1000, 4
100, 5000, 11
100, 10000, 21
100, 50000, 105
100, 100000, 315
100, 500000, 1766
100, 1000000, 3254
100, 5000000, 9034
1000, 10, 8
1000, 50, 3
1000, 100, 1
1000, 500, 3
1000, 1000, 3
1000, 5000, 7
1000, 10000, 12
1000, 50000, 45
1000, 100000, 79
1000, 500000, 404
1000, 1000000, 739
1000, 5000000, 9789
10000, 10, 41
10000, 50, 20
10000, 100, 20
10000, 500, 18
10000, 1000, 22
10000, 5000, 20
10000, 10000, 29
10000, 50000, 58
10000, 100000, 92
10000, 500000, 324
10000, 1000000, 944
10000, 5000000, 8439
